,User1,User2,User3,User4,User5,User6,Prod1,Prod2
2018-01-01 00:00:00,207.2,0.84,4.2,3.24,14.85,127.75,0,0
2018-01-01 00:15:00,235.2,0.85,3.9,3.27,14.4,128.625,0,0
2018-01-01 00:30:00,156.8,0.84,4.5,5.64,13.65,129.5,0,0
2018-01-01 00:45:00,140,0.84,4.5,3.39,13.35,126.875,0,0
2018-01-01 01:00:00,134.4,0.85,4.5,3.06,11.25,126.875,0,0
2018-01-01 01:15:00,168,0.86,4.8,2.73,10.8,130.375,0,0
2018-01-01 01:30:00,134.4,0.84,4.5,3.57,11.55,129.5,0,0
2018-01-01 01:45:00,190.4,0.86,4.5,2.73,9.45,129.5,0,0
2018-01-01 02:00:00,190.4,0.83,4.8,3.51,9.75,143.5,0,0
2018-01-01 02:15:00,285.6,0.84,4.8,3.15,11.55,147,0,0
2018-01-01 02:30:00,280,0.85,4.5,2.94,11.25,133.875,0,0
2018-01-01 02:45:00,296.8,0.87,4.5,3.15,9.9,131.25,0,0
2018-01-01 03:00:00,324.8,0.84,4.5,3,9.75,129.5,0,0
2018-01-01 03:15:00,347.2,0.87,4.8,3.12,10.35,131.25,0,0
2018-01-01 03:30:00,347.2,0.89,4.5,3.54,10.8,133.875,0,0
2018-01-01 03:45:00,347.2,0.86,4.5,3.36,11.4,129.5,0,0
2018-01-01 04:00:00,341.6,0.86,4.5,3.57,14.7,127.75,0,0
2018-01-01 04:15:00,336,0.86,4.8,2.76,12.45,132.125,0,0
2018-01-01 04:30:00,330.4,0.86,4.5,3.54,11.4,133.875,0,0
2018-01-01 04:45:00,330.4,0.84,4.5,3.3,12.15,141.75,0,0
2018-01-01 05:00:00,336,0.86,4.8,3.21,11.85,158.375,0,0
2018-01-01 05:15:00,330.4,0.87,4.5,3.36,11.1,311.5,0,0
2018-01-01 05:30:00,330.4,0.89,4.5,3.45,11.25,334.25,0,0
2018-01-01 05:45:00,308,0.95,4.5,3.66,12.6,349.125,0,0
2018-01-01 06:00:00,313.6,0.98,4.5,3.09,11.25,332.5,0,0
2018-01-01 06:15:00,313.6,0.96,4.5,3.39,10.8,333.375,0,0
2018-01-01 06:30:00,336,0.96,4.5,3.66,10.95,353.5,0,0
2018-01-01 06:45:00,313.6,0.97,4.5,3.3,10.35,333.375,0,0
2018-01-01 07:00:00,319.2,0.94,4.5,3.66,9.15,324.625,0,0
2018-01-01 07:15:00,319.2,0.99,4.8,3.12,9.3,351.75,0,0
2018-01-01 07:30:00,319.2,0.98,4.5,3.57,10.8,336.875,0,0
2018-01-01 07:45:00,313.6,0.97,4.5,3.24,10.2,305.375,0,0
2018-01-01 08:00:00,324.8,0.99,4.5,3.3,10.05,282.625,0,0
2018-01-01 08:15:00,330.4,0.99,4.5,3.21,10.95,233.625,0,0
2018-01-01 08:30:00,308,0.95,4.5,3.27,12.3,231.875,0,0
